date,gt_score
2024-05-12,100
2024-05-13,60
2024-05-14,26
2024-05-15,17
2024-05-16,15
2024-05-17,12
2024-05-18,22
2024-05-19,51
2024-05-20,21
2024-05-21,10
2024-05-22,7
2024-05-23,5
2024-05-24,6
2024-05-25,9
2024-05-26,23
2024-05-27,14
2024-05-28,7
2024-05-29,5
2024-05-30,4
2024-05-31,5
2024-06-01,7
2024-06-02,17
2024-06-03,11
2024-06-04,5
2024-06-05,4
2024-06-06,3
2024-06-07,4
2024-06-08,5
2024-06-09,12
2024-06-10,10
2024-06-11,4
2024-06-12,3
2024-06-13,4
2024-06-14,3
2024-06-15,5
2024-06-16,10
2024-06-17,8
2024-06-18,6
2024-06-19,5
2024-06-20,4
2024-06-21,4
2024-06-22,5
2024-06-23,28
2024-06-24,22
2024-06-25,10
2024-06-26,7
2024-06-27,5
2024-06-28,5
2024-06-29,9
2024-06-30,49
2024-07-01,34
2024-07-02,13
2024-07-03,10
2024-07-04,7
2024-07-05,7
2024-07-06,9
2024-07-07,8
2024-07-08,6
2024-07-09,4
2024-07-10,3
2024-07-11,3
2024-07-12,3
2024-07-13,5
2024-07-14,4
2024-07-15,4
2024-07-16,2
2024-07-17,2
2024-07-18,2
2024-07-19,2
2024-07-20,2
2024-07-21,3
2024-07-22,2
2024-07-23,2
2024-07-24,2
2024-07-25,1
2024-07-26,2
2024-07-27,1
2024-07-28,2
2024-07-29,1
2024-07-30,1
2024-07-31,1
2024-08-01,1
2024-08-02,1
2024-08-03,1
2024-08-04,2
2024-08-05,2
2024-08-06,1
2024-08-07,1
2024-08-08,1
2024-08-09,1
2024-08-10,2
