date,gt_score
2020-10-03,100
2020-10-04,49
2020-10-05,0
2020-10-06,24
2020-10-07,0
2020-10-08,20
2020-10-09,33
2020-10-10,66
2020-10-11,26
2020-10-12,29
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,22
2020-10-17,42
2020-10-18,24
2020-10-19,0
2020-10-20,24
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,24
2020-10-25,28
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,21
2020-11-01,19
2020-11-02,32
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,27
2020-11-07,34
2020-11-08,0
2020-11-09,19
2020-11-10,0
2020-11-11,23
2020-11-12,0
2020-11-13,24
2020-11-14,50
2020-11-15,23
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,20
2020-11-21,27
2020-11-22,23
2020-11-23,18
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,25
2020-11-29,33
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,27
2020-12-05,36
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,23
2020-12-12,40
2020-12-13,29
2020-12-14,0
2020-12-15,30
2020-12-16,0
2020-12-17,28
2020-12-18,0
2020-12-19,58
2020-12-20,36
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,20
2020-12-26,25
2020-12-27,20
2020-12-28,20
2020-12-29,0
2020-12-30,0
2020-12-31,17
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,22
2021-01-06,18
2021-01-07,0
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,0
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,0
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,0
