date,gt_score
2018-10-07,98
2018-10-08,58
2018-10-09,34
2018-10-10,25
2018-10-11,23
2018-10-12,21
2018-10-13,53
2018-10-14,67
2018-10-15,31
2018-10-16,25
2018-10-17,15
2018-10-18,21
2018-10-19,15
2018-10-20,43
2018-10-21,59
2018-10-22,27
2018-10-23,20
2018-10-24,16
2018-10-25,21
2018-10-26,16
2018-10-27,49
2018-10-28,59
2018-10-29,33
2018-10-30,16
2018-10-31,20
2018-11-01,16
2018-11-02,23
2018-11-03,48
2018-11-04,71
2018-11-05,31
2018-11-06,22
2018-11-07,16
2018-11-08,17
2018-11-09,18
2018-11-10,46
2018-11-11,61
2018-11-12,25
2018-11-13,20
2018-11-14,17
2018-11-15,15
2018-11-16,17
2018-11-17,54
2018-11-18,70
2018-11-19,29
2018-11-20,22
2018-11-21,20
2018-11-22,17
2018-11-23,27
2018-11-24,63
2018-11-25,74
2018-11-26,29
2018-11-27,21
2018-11-28,16
2018-11-29,18
2018-11-30,15
2018-12-01,52
2018-12-02,62
2018-12-03,30
2018-12-04,23
2018-12-05,16
2018-12-06,16
2018-12-07,16
2018-12-08,63
2018-12-09,100
2018-12-10,41
2018-12-11,26
2018-12-12,22
2018-12-13,16
2018-12-14,20
2018-12-15,58
2018-12-16,60
2018-12-17,25
2018-12-18,21
2018-12-19,16
2018-12-20,17
2018-12-21,18
2018-12-22,38
2018-12-23,63
2018-12-24,35
2018-12-25,27
2018-12-26,26
2018-12-27,21
2018-12-28,23
2018-12-29,64
2018-12-30,71
2018-12-31,32
2019-01-01,24
2019-01-02,39
2019-01-03,26
2019-01-04,25
2019-01-05,49
2019-01-06,57
2019-01-07,29
2019-01-08,19
2019-01-09,22
2019-01-10,17
2019-01-11,16
2019-01-12,44
2019-01-13,56
2019-01-14,34
2019-01-15,22
2019-01-16,19
2019-01-17,13
2019-01-18,17
2019-01-19,40
2019-01-20,46
2019-01-21,23
2019-01-22,18
2019-01-23,18
2019-01-24,17
2019-01-25,17
2019-01-26,40
2019-01-27,55
2019-01-28,29
2019-01-29,17
2019-01-30,18
2019-01-31,13
2019-02-01,16
2019-02-02,48
2019-02-03,56
2019-02-04,26
2019-02-05,18
2019-02-06,14
2019-02-07,18
2019-02-08,16
2019-02-09,42
2019-02-10,55
2019-02-11,30
2019-02-12,15
2019-02-13,15
2019-02-14,15
2019-02-15,12
2019-02-16,48
2019-02-17,67
2019-02-18,30
2019-02-19,25
2019-02-20,15
2019-02-21,16
2019-02-22,12
2019-02-23,44
2019-02-24,65
2019-02-25,24
2019-02-26,23
2019-02-27,20
2019-02-28,19
2019-03-01,14
2019-03-02,46
2019-03-03,58
2019-03-04,29
2019-03-05,20
2019-03-06,17
2019-03-07,19
2019-03-08,20
2019-03-09,56
2019-03-10,63
2019-03-11,31
2019-03-12,20
2019-03-13,21
2019-03-14,17
2019-03-15,18
2019-03-16,42
2019-03-17,56
2019-03-18,26
2019-03-19,23
2019-03-20,19
2019-03-21,23
2019-03-22,18
2019-03-23,45
2019-03-24,64
2019-03-25,34
2019-03-26,28
2019-03-27,19
2019-03-28,20
2019-03-29,20
2019-03-30,83
2019-03-31,91
2019-04-01,39
2019-04-02,26
2019-04-03,26
2019-04-04,18
2019-04-05,23
2019-04-06,46
2019-04-07,42
2019-04-08,18
2019-04-09,14
2019-04-10,12
2019-04-11,8
2019-04-12,14
2019-04-13,28
2019-04-14,24
2019-04-15,15
2019-04-16,14
2019-04-17,13
2019-04-18,12
2019-04-19,11
2019-04-20,19
2019-04-21,21
2019-04-22,13
2019-04-23,10
2019-04-24,10
2019-04-25,10
2019-04-26,11
2019-04-27,12
2019-04-28,9
2019-04-29,13
2019-04-30,10
2019-05-01,8
2019-05-02,8
2019-05-03,11
2019-05-04,11
2019-05-05,12
2019-05-06,9
2019-05-07,7
2019-05-08,6
2019-05-09,7
2019-05-10,8
2019-05-11,9
2019-05-12,7
2019-05-13,8
2019-05-14,6
2019-05-15,7
2019-05-16,4
2019-05-17,7
2019-05-18,9
2019-05-19,9
2019-05-20,6
2019-05-21,8
2019-05-22,5
2019-05-23,6
2019-05-24,7
2019-05-25,10
2019-05-26,6
2019-05-27,7
2019-05-28,4
2019-05-29,7
2019-05-30,6
2019-05-31,4
2019-06-01,9
2019-06-02,10
2019-06-03,6
2019-06-04,8
2019-06-05,7
2019-06-06,7
2019-06-07,7
2019-06-08,11
2019-06-09,7
2019-06-10,7
2019-06-11,6
2019-06-12,5
2019-06-13,5
2019-06-14,7
2019-06-15,12
2019-06-16,8
2019-06-17,5
2019-06-18,5
2019-06-19,7
2019-06-20,5
2019-06-21,6
2019-06-22,8
2019-06-23,7
2019-06-24,6
2019-06-25,5
2019-06-26,5
2019-06-27,8
2019-06-28,5
2019-06-29,9
