date,gt_score
2019-10-02,82
2019-10-03,65
2019-10-04,67
2019-10-05,49
2019-10-06,41
2019-10-07,0
2019-10-08,0
2019-10-09,46
2019-10-10,42
2019-10-11,60
2019-10-12,51
2019-10-13,50
2019-10-14,81
2019-10-15,0
2019-10-16,59
2019-10-17,62
2019-10-18,45
2019-10-19,32
2019-10-20,0
2019-10-21,0
2019-10-22,0
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-26,0
2019-10-27,0
2019-10-28,0
2019-10-29,0
2019-10-30,0
2019-10-31,0
2019-11-01,0
2019-11-02,35
2019-11-03,35
2019-11-04,0
2019-11-05,0
2019-11-06,34
2019-11-07,65
2019-11-08,0
2019-11-09,50
2019-11-10,0
2019-11-11,0
2019-11-12,0
2019-11-13,0
2019-11-14,41
2019-11-15,0
2019-11-16,0
2019-11-17,0
2019-11-18,30
2019-11-19,0
2019-11-20,45
2019-11-21,55
2019-11-22,0
2019-11-23,42
2019-11-24,0
2019-11-25,0
2019-11-26,34
2019-11-27,30
2019-11-28,32
2019-11-29,35
2019-11-30,0
2019-12-01,0
2019-12-02,0
2019-12-03,0
2019-12-04,47
2019-12-05,48
2019-12-06,0
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,35
2019-12-11,38
2019-12-12,32
2019-12-13,30
2019-12-14,37
2019-12-15,38
2019-12-16,0
2019-12-17,34
2019-12-18,43
2019-12-19,69
2019-12-20,45
2019-12-21,0
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,75
2019-12-26,76
2019-12-27,77
2019-12-28,100
2019-12-29,89
2019-12-30,53
2019-12-31,0
2020-01-01,51
2020-01-02,30
2020-01-03,35
2020-01-04,55
2020-01-05,52
2020-01-06,56
2020-01-07,59
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,50
2020-01-12,47
2020-01-13,48
2020-01-14,42
2020-01-15,0
2020-01-16,44
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,29
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
