date,gt_score
2018-10-07,100
2018-10-08,53
2018-10-09,42
2018-10-10,41
2018-10-11,47
2018-10-12,52
2018-10-13,77
2018-10-14,57
2018-10-15,36
2018-10-16,24
2018-10-17,16
2018-10-18,14
2018-10-19,16
2018-10-20,27
2018-10-21,31
2018-10-22,19
2018-10-23,9
2018-10-24,14
2018-10-25,10
2018-10-26,17
2018-10-27,22
2018-10-28,32
2018-10-29,25
2018-10-30,19
2018-10-31,11
2018-11-01,15
2018-11-02,15
2018-11-03,29
2018-11-04,33
2018-11-05,22
2018-11-06,23
2018-11-07,19
2018-11-08,16
2018-11-09,19
2018-11-10,30
2018-11-11,37
2018-11-12,11
2018-11-13,14
2018-11-14,16
2018-11-15,12
2018-11-16,12
2018-11-17,29
2018-11-18,41
2018-11-19,18
2018-11-20,13
2018-11-21,16
2018-11-22,14
2018-11-23,25
2018-11-24,40
2018-11-25,47
2018-11-26,27
2018-11-27,20
2018-11-28,14
2018-11-29,12
2018-11-30,13
2018-12-01,21
2018-12-02,34
2018-12-03,17
2018-12-04,14
2018-12-05,11
2018-12-06,11
2018-12-07,12
2018-12-08,27
2018-12-09,30
2018-12-10,14
2018-12-11,15
2018-12-12,12
2018-12-13,13
2018-12-14,11
2018-12-15,33
2018-12-16,35
2018-12-17,18
2018-12-18,17
2018-12-19,0
2018-12-20,9
2018-12-21,21
2018-12-22,23
2018-12-23,30
2018-12-24,26
2018-12-25,12
2018-12-26,11
2018-12-27,10
2018-12-28,16
2018-12-29,29
2018-12-30,27
2018-12-31,13
2019-01-01,18
2019-01-02,12
2019-01-03,10
2019-01-04,13
2019-01-05,12
