date,gt_score
2021-10-15,100
2021-10-16,72
2021-10-17,56
2021-10-18,43
2021-10-19,39
2021-10-20,38
2021-10-21,59
2021-10-22,87
2021-10-23,75
2021-10-24,57
2021-10-25,40
2021-10-26,39
2021-10-27,39
2021-10-28,61
2021-10-29,82
2021-10-30,80
2021-10-31,64
2021-11-01,45
2021-11-02,45
2021-11-03,56
2021-11-04,58
2021-11-05,79
2021-11-06,78
2021-11-07,58
2021-11-08,40
2021-11-09,34
2021-11-10,31
2021-11-11,49
2021-11-12,69
2021-11-13,64
2021-11-14,53
2021-11-15,40
2021-11-16,32
2021-11-17,35
2021-11-18,47
2021-11-19,55
2021-11-20,58
2021-11-21,46
2021-11-22,40
2021-11-23,39
2021-11-24,28
2021-11-25,44
2021-11-26,60
2021-11-27,60
2021-11-28,48
2021-11-29,33
2021-11-30,33
2021-12-01,37
2021-12-02,45
2021-12-03,60
2021-12-04,61
2021-12-05,50
2021-12-06,37
2021-12-07,31
2021-12-08,33
2021-12-09,48
2021-12-10,63
2021-12-11,58
2021-12-12,50
2021-12-13,36
2021-12-14,33
2021-12-15,33
2021-12-16,45
2021-12-17,52
2021-12-18,43
2021-12-19,39
2021-12-20,31
2021-12-21,31
2021-12-22,34
2021-12-23,39
2021-12-24,55
2021-12-25,54
2021-12-26,49
2021-12-27,36
2021-12-28,36
2021-12-29,38
2021-12-30,45
2021-12-31,41
2022-01-01,43
2022-01-02,42
2022-01-03,40
2022-01-04,40
2022-01-05,38
2022-01-06,52
2022-01-07,66
2022-01-08,73
2022-01-09,62
2022-01-10,55
2022-01-11,45
2022-01-12,44
2022-01-13,57
2022-01-14,62
2022-01-15,81
2022-01-16,59
2022-01-17,37
2022-01-18,37
2022-01-19,35
2022-01-20,51
2022-01-21,57
2022-01-22,67
2022-01-23,61
2022-01-24,49
2022-01-25,38
2022-01-26,40
2022-01-27,41
2022-01-28,55
2022-01-29,58
2022-01-30,57
2022-01-31,41
2022-02-01,44
2022-02-02,43
2022-02-03,50
2022-02-04,56
2022-02-05,64
2022-02-06,57
2022-02-07,44
2022-02-08,39
2022-02-09,40
2022-02-10,46
2022-02-11,61
2022-02-12,57
2022-02-13,48
2022-02-14,36
2022-02-15,33
2022-02-16,38
2022-02-17,42
2022-02-18,64
2022-02-19,59
2022-02-20,52
2022-02-21,34
2022-02-22,37
2022-02-23,59
2022-02-24,42
2022-02-25,53
2022-02-26,46
2022-02-27,42
2022-02-28,31
2022-03-01,32
2022-03-02,32
2022-03-03,37
2022-03-04,44
2022-03-05,47
2022-03-06,40
2022-03-07,29
2022-03-08,31
2022-03-09,29
2022-03-10,39
2022-03-11,58
2022-03-12,51
2022-03-13,43
2022-03-14,32
