date,gt_score
2019-07-06,100
2019-07-07,50
2019-07-08,45
2019-07-09,35
2019-07-10,25
2019-07-11,44
2019-07-12,22
2019-07-13,55
2019-07-14,0
2019-07-15,0
2019-07-16,0
2019-07-17,0
2019-07-18,0
2019-07-19,45
2019-07-20,28
2019-07-21,0
2019-07-22,0
2019-07-23,0
2019-07-24,0
2019-07-25,34
2019-07-26,26
2019-07-27,23
2019-07-28,0
2019-07-29,0
2019-07-30,0
2019-07-31,0
2019-08-01,0
2019-08-02,0
2019-08-03,31
2019-08-04,0
2019-08-05,0
2019-08-06,0
2019-08-07,0
2019-08-08,0
2019-08-09,32
2019-08-10,28
2019-08-11,0
2019-08-12,33
2019-08-13,0
2019-08-14,0
2019-08-15,0
2019-08-16,35
2019-08-17,22
2019-08-18,0
2019-08-19,0
2019-08-20,0
2019-08-21,0
2019-08-22,0
2019-08-23,36
2019-08-24,32
2019-08-25,22
2019-08-26,0
2019-08-27,0
2019-08-28,23
2019-08-29,0
2019-08-30,0
2019-08-31,0
2019-09-01,0
2019-09-02,0
2019-09-03,36
2019-09-04,0
2019-09-05,0
2019-09-06,27
2019-09-07,38
2019-09-08,21
2019-09-09,0
2019-09-10,0
2019-09-11,0
2019-09-12,0
2019-09-13,27
2019-09-14,36
2019-09-15,28
2019-09-16,26
2019-09-17,0
2019-09-18,22
2019-09-19,0
2019-09-20,0
2019-09-21,37
2019-09-22,21
2019-09-23,34
2019-09-24,26
2019-09-25,0
2019-09-26,29
2019-09-27,39
2019-09-28,43
2019-09-29,44
2019-09-30,26
2019-10-01,25
2019-10-02,32
2019-10-03,30
2019-10-04,25
