date,gt_score
2016-10-06,0
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,58
2016-10-11,0
2016-10-12,53
2016-10-13,0
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,0
2016-10-19,48
2016-10-20,0
2016-10-21,0
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-05,0
2016-11-06,47
2016-11-07,0
2016-11-08,0
2016-11-09,52
2016-11-10,59
2016-11-11,0
2016-11-12,0
2016-11-13,0
2016-11-14,0
2016-11-15,0
2016-11-16,0
2016-11-17,59
2016-11-18,77
2016-11-19,0
2016-11-20,0
2016-11-21,0
2016-11-22,0
2016-11-23,50
2016-11-24,60
2016-11-25,55
2016-11-26,49
2016-11-27,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-03,78
2016-12-04,49
2016-12-05,0
2016-12-06,0
2016-12-07,69
2016-12-08,59
2016-12-09,52
2016-12-10,54
2016-12-11,55
2016-12-12,60
2016-12-13,0
2016-12-14,75
2016-12-15,77
2016-12-16,67
2016-12-17,0
2016-12-18,70
2016-12-19,0
2016-12-20,0
2016-12-21,95
2016-12-22,100
2016-12-23,77
2016-12-24,59
2016-12-25,45
2016-12-26,63
2016-12-27,50
2016-12-28,0
2016-12-29,0
2016-12-30,0
2016-12-31,0
2017-01-01,51
2017-01-02,0
2017-01-03,0
2017-01-04,46
2017-01-05,0
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,93
2017-01-10,44
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,0
2017-01-27,0
2017-01-28,0
2017-01-29,46
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,79
2017-02-11,0
2017-02-12,0
2017-02-13,0
2017-02-14,63
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-24,0
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-04,0
2017-03-05,0
