date,gt_score
2021-01-10,71
2021-01-11,49
2021-01-12,27
2021-01-13,22
2021-01-14,21
2021-01-15,31
2021-01-16,55
2021-01-17,54
2021-01-18,34
2021-01-19,29
2021-01-20,23
2021-01-21,22
2021-01-22,27
2021-01-23,40
2021-01-24,42
2021-01-25,29
2021-01-26,24
2021-01-27,22
2021-01-28,21
2021-01-29,25
2021-01-30,39
2021-01-31,41
2021-02-01,26
2021-02-02,24
2021-02-03,21
2021-02-04,21
2021-02-05,29
2021-02-06,47
2021-02-07,49
2021-02-08,32
2021-02-09,30
2021-02-10,28
2021-02-11,33
2021-02-12,34
2021-02-13,54
2021-02-14,72
2021-02-15,51
2021-02-16,59
2021-02-17,53
2021-02-18,45
2021-02-19,53
2021-02-20,72
2021-02-21,100
2021-02-22,58
2021-02-23,66
2021-02-24,47
2021-02-25,42
2021-02-26,45
2021-02-27,56
2021-02-28,60
2021-03-01,39
2021-03-02,42
2021-03-03,37
2021-03-04,35
2021-03-05,38
2021-03-06,46
2021-03-07,53
2021-03-08,33
2021-03-09,37
2021-03-10,28
2021-03-11,29
2021-03-12,29
2021-03-13,41
2021-03-14,42
2021-03-15,28
2021-03-16,30
2021-03-17,27
2021-03-18,32
2021-03-19,30
2021-03-20,39
2021-03-21,42
2021-03-22,33
2021-03-23,32
2021-03-24,33
2021-03-25,29
2021-03-26,37
2021-03-27,44
2021-03-28,47
2021-03-29,37
2021-03-30,36
2021-03-31,32
2021-04-01,29
2021-04-02,37
2021-04-03,49
2021-04-04,55
2021-04-05,41
2021-04-06,30
2021-04-07,29
2021-04-08,29
2021-04-09,30
2021-04-10,36
2021-04-11,30
2021-04-12,21
2021-04-13,17
2021-04-14,17
2021-04-15,17
2021-04-16,18
2021-04-17,21
2021-04-18,20
2021-04-19,16
2021-04-20,16
2021-04-21,11
2021-04-22,10
2021-04-23,8
2021-04-24,13
2021-04-25,12
2021-04-26,11
2021-04-27,9
2021-04-28,10
2021-04-29,12
2021-04-30,10
2021-05-01,12
2021-05-02,11
2021-05-03,14
2021-05-04,15
2021-05-05,13
2021-05-06,9
2021-05-07,10
2021-05-08,10
2021-05-09,12
2021-05-10,11
2021-05-11,9
2021-05-12,10
2021-05-13,9
2021-05-14,8
2021-05-15,10
2021-05-16,10
2021-05-17,11
2021-05-18,10
2021-05-19,9
2021-05-20,7
2021-05-21,11
2021-05-22,12
2021-05-23,12
2021-05-24,9
2021-05-25,9
2021-05-26,9
2021-05-27,8
2021-05-28,7
2021-05-29,11
2021-05-30,13
2021-05-31,9
2021-06-01,8
2021-06-02,9
2021-06-03,7
2021-06-04,9
2021-06-05,10
2021-06-06,8
2021-06-07,6
2021-06-08,7
2021-06-09,6
