date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2019-07-08,37999,100.0,1,1,1,1,input
2019-07-09,19446,59.0,3,3,2,1,input
2019-07-10,12559,41.0,0,0,3,1,input
2019-07-11,9307,27.0,0,0,4,1,input
2019-07-12,7490,20.0,0,0,5,1,input
2019-07-13,9897,27.0,3,3,6,1,input
2019-07-14,8899,35.0,0,0,7,1,input
2019-07-15,8847,25.0,0,0,8,2,input
2019-07-16,4817,15.0,0,0,9,2,input
2019-07-17,3791,16.0,0,0,10,2,input
2019-07-18,3443,13.0,0,0,11,2,input
2019-07-19,3238,13.0,0,0,12,2,input
2019-07-20,4835,18.0,0,0,13,2,input
2019-07-21,5602,17.0,0,0,14,2,input
2019-07-22,2862,14.0,0,0,15,3,input
2019-07-23,2521,11.0,0,0,16,3,input
2019-07-24,5090,18.0,0,0,17,3,input
2019-07-25,4378,15.0,0,0,18,3,input
2019-07-26,4423,15.0,0,0,19,3,input
2019-07-27,4558,13.0,0,0,20,3,input
2019-07-28,10723,32.0,1,1,21,3,input
2019-08-07,3743,10.0,0,0,31,5,Y_1m
2019-09-06,2342,6.0,0,0,61,9,Y_2m
2019-10-06,7291,17.0,2,2,91,13,Y_3m
2019-11-05,4511,12.0,0,0,121,18,Y_4m
2019-12-05,2271,9.0,0,0,151,22,Y_5m
