date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2020-10-03,50135,29.0,4,4,1,1,input
2020-10-04,34206,18.0,3,3,2,1,input
2020-10-05,23494,14.0,1,1,3,1,input
2020-10-06,18231,11.0,0,0,4,1,input
2020-10-07,14988,9.0,0,0,5,1,input
2020-10-08,13254,9.0,1,1,6,1,input
2020-10-09,21969,14.0,1,1,7,1,input
2020-10-10,41889,24.0,2,2,8,2,input
2020-10-11,34955,22.0,0,0,9,2,input
2020-10-12,28325,17.0,2,2,10,2,input
2020-10-13,21135,14.0,2,2,11,2,input
2020-10-14,16799,12.0,4,4,12,2,input
2020-10-15,15258,11.0,3,3,13,2,input
2020-10-16,28840,17.0,4,4,14,2,input
2020-10-17,50995,27.0,3,3,15,3,input
2020-10-18,38487,23.0,0,0,16,3,input
2020-10-19,28515,17.0,3,3,17,3,input
2020-10-20,22546,14.0,0,0,18,3,input
2020-10-21,19536,15.0,1,1,19,3,input
2020-10-22,19324,15.0,0,0,20,3,input
2020-10-23,27426,17.0,5,5,21,3,input
2020-11-02,35801,25.0,3,3,31,5,Y_1m
2020-12-02,39339,39.0,0,0,61,9,Y_2m
2021-01-01,43736,51.0,0,0,91,13,Y_3m
2021-01-31,61001,72.0,0,0,121,18,Y_4m
2021-03-02,41877,84.0,0,0,151,22,Y_5m
