date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2017-04-01,26803,89.0,10,10,1,1,input
2017-04-02,11710,61.0,1,1,2,1,input
2017-04-03,7737,50.0,2,2,3,1,input
2017-04-04,6598,0.0,0,0,4,1,input
2017-04-05,6131,43.0,3,3,5,1,input
2017-04-06,5548,46.0,4,4,6,1,input
2017-04-07,5013,0.0,1,1,7,1,input
2017-04-08,25228,76.0,5,5,8,2,input
2017-04-09,12306,52.0,1,1,9,2,input
2017-04-10,6869,0.0,1,1,10,2,input
2017-04-11,5618,0.0,1,1,11,2,input
2017-04-12,4868,0.0,1,1,12,2,input
2017-04-13,4019,0.0,0,0,13,2,input
2017-04-14,3919,0.0,0,0,14,2,input
2017-04-15,21057,68.0,2,2,15,3,input
2017-04-16,10436,0.0,0,0,16,3,input
2017-04-17,6370,0.0,0,0,17,3,input
2017-04-18,5267,0.0,0,0,18,3,input
2017-04-19,4923,0.0,1,1,19,3,input
2017-04-20,4744,0.0,1,1,20,3,input
2017-04-21,4274,0.0,1,1,21,3,input
2017-04-22,22622,55.0,7,7,22,4,input
2017-04-23,11872,0.0,1,1,23,4,input
2017-04-24,7872,0.0,4,4,24,4,input
2017-04-25,5781,0.0,1,1,25,4,input
2017-04-26,4902,0.0,0,0,26,4,input
2017-04-27,4210,0.0,0,0,27,4,input
2017-04-28,4112,0.0,0,0,28,4,input
2017-05-01,8162,0.0,0,0,31,5,Y_1m
2017-06-30,6809,0.0,0,0,91,13,Y_3m
