date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-04-06,5075,14.0,5,5,1,1,input
2021-04-07,2738,8.0,0,0,2,1,input
2021-04-08,1982,8.0,0,0,3,1,input
2021-04-09,1726,6.0,2,2,4,1,input
2021-04-10,1556,6.0,0,0,5,1,input
2021-04-11,1755,8.0,0,0,6,1,input
2021-04-12,2454,6.0,2,2,7,1,input
2021-04-13,4088,11.0,5,5,8,2,input
2021-04-14,2508,7.0,1,1,9,2,input
2021-04-15,1837,6.0,0,0,10,2,input
2021-04-16,1483,5.0,0,0,11,2,input
2021-04-17,1907,7.0,0,0,12,2,input
2021-04-18,1874,6.0,0,0,13,2,input
2021-04-19,2202,5.0,0,0,14,2,input
2021-04-20,3553,8.0,5,5,15,3,input
2021-04-21,2427,7.0,0,0,16,3,input
2021-04-22,1648,5.0,0,0,17,3,input
2021-04-23,1474,5.0,0,0,18,3,input
2021-04-24,1637,6.0,0,0,19,3,input
2021-04-25,1945,8.0,0,0,20,3,input
2021-04-26,2161,6.0,0,0,21,3,input
2021-05-06,2180,6.0,1,1,31,5,Y_1m
2021-06-05,2577,7.0,0,0,61,9,Y_2m
2021-07-05,8392,32.0,1,1,91,13,Y_3m
2021-08-04,4156,15.0,0,0,121,18,Y_4m
2021-09-03,4389,19.0,1,1,151,22,Y_5m
