date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-10-15,22381,100.0,1,1,1,1,input
2021-10-16,15959,72.0,1,1,2,1,input
2021-10-17,11397,56.0,0,0,3,1,input
2021-10-18,7808,43.0,0,0,4,1,input
2021-10-19,7234,39.0,0,0,5,1,input
2021-10-20,6040,38.0,1,1,6,1,input
2021-10-21,11947,59.0,2,2,7,1,input
2021-10-22,17755,87.0,0,0,8,2,input
2021-10-23,13899,75.0,1,1,9,2,input
2021-10-24,10035,57.0,0,0,10,2,input
2021-10-25,7424,40.0,0,0,11,2,input
2021-10-26,6042,39.0,0,0,12,2,input
2021-10-27,6346,39.0,0,0,13,2,input
2021-10-28,13674,61.0,1,1,14,2,input
2021-10-29,20585,82.0,0,0,15,3,input
2021-10-30,17788,80.0,1,1,16,3,input
2021-10-31,14363,64.0,0,0,17,3,input
2021-11-01,9457,45.0,0,0,18,3,input
2021-11-02,8534,45.0,0,0,19,3,input
2021-11-03,9990,56.0,0,0,20,3,input
2021-11-04,11169,58.0,1,1,21,3,input
2021-11-14,9103,53.0,0,0,31,5,Y_1m
2022-01-13,7593,57.0,1,1,91,13,Y_3m
