date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2020-12-07,15355,57.0,2,2,1,1,input
2020-12-08,10324,38.0,1,1,2,1,input
2020-12-09,7785,32.0,0,0,3,1,input
2020-12-10,5648,27.0,1,1,4,1,input
2020-12-11,5242,27.0,0,0,5,1,input
2020-12-12,6219,30.0,0,0,6,1,input
2020-12-13,9444,37.0,2,2,7,1,input
2020-12-14,11207,33.0,1,1,8,2,input
2020-12-15,5850,26.0,0,0,9,2,input
2020-12-16,5101,23.0,0,0,10,2,input
2020-12-17,4390,21.0,0,0,11,2,input
2020-12-18,6877,22.0,0,0,12,2,input
2020-12-19,7195,27.0,0,0,13,2,input
2020-12-20,8285,28.0,1,1,14,2,input
2020-12-21,5552,27.0,1,1,15,3,input
2020-12-22,4048,24.0,0,0,16,3,input
2020-12-23,3613,21.0,0,0,17,3,input
2020-12-24,3707,19.0,1,1,18,3,input
2020-12-25,3453,20.0,0,0,19,3,input
2020-12-26,4189,23.0,0,0,20,3,input
2020-12-27,6613,29.0,0,0,21,3,input
2020-12-28,7605,33.0,1,1,22,4,input
2020-12-29,5861,29.0,1,1,23,4,input
2020-12-30,5142,24.0,0,0,24,4,input
2020-12-31,5560,21.0,0,0,25,4,input
2021-01-01,6982,20.0,0,0,26,4,input
2021-01-02,8545,24.0,0,0,27,4,input
2021-01-03,13102,30.0,1,1,28,4,input
2021-01-06,4047,27.0,0,0,31,5,Y_1m
2021-03-07,7265,32.0,1,1,91,13,Y_3m
