date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2023-07-02,10777,74.0,0,0,1,1,input
2023-07-03,13131,64.0,2,2,2,1,input
2023-07-04,8659,49.0,1,1,3,1,input
2023-07-05,7478,54.0,1,1,4,1,input
2023-07-06,8116,53.0,0,0,5,1,input
2023-07-07,7002,47.0,1,1,6,1,input
2023-07-08,8077,53.0,0,0,7,1,input
2023-07-09,14247,72.0,0,0,8,2,input
2023-07-10,14420,71.0,1,1,9,2,input
2023-07-11,8773,50.0,1,1,10,2,input
2023-07-12,7195,43.0,0,0,11,2,input
2023-07-13,7528,46.0,1,1,12,2,input
2023-07-14,6515,41.0,0,0,13,2,input
2023-07-15,6601,49.0,0,0,14,2,input
2023-07-16,12812,80.0,0,0,15,3,input
2023-07-17,16525,94.0,0,0,16,3,input
2023-07-18,8746,55.0,0,0,17,3,input
2023-07-19,7245,49.0,1,1,18,3,input
2023-07-20,6881,58.0,0,0,19,3,input
2023-07-21,5336,50.0,1,1,20,3,input
2023-07-22,6071,49.0,1,1,21,3,input
2023-08-01,6743,57.0,0,0,31,5,Y_1m
2023-08-31,6554,52.0,0,0,61,9,Y_2m
2023-09-30,5399,49.0,0,0,91,13,Y_3m
2023-10-30,1876,18.0,0,0,121,18,Y_4m
2023-11-29,916,10.0,0,0,151,22,Y_5m
