date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2024-01-07,9702,,0,0,1,1,input
2024-01-08,6586,,0,0,2,1,input
2024-01-09,4068,,0,0,3,1,input
2024-01-10,3446,,0,0,4,1,input
2024-01-11,3157,,0,0,5,1,input
2024-01-12,3314,,2,2,6,1,input
2024-01-13,6493,,1,1,7,1,input
2024-01-14,8040,,0,0,8,2,input
2024-01-15,4423,,0,0,9,2,input
2024-01-16,3845,,0,0,10,2,input
2024-01-17,3318,,0,0,11,2,input
2024-01-18,3132,,0,0,12,2,input
2024-01-19,2741,,0,0,13,2,input
2024-01-20,6266,,2,2,14,2,input
2024-01-21,9220,,0,0,15,3,input
2024-01-22,4779,,0,0,16,3,input
2024-01-23,3634,,0,0,17,3,input
2024-01-24,3084,,0,0,18,3,input
2024-01-25,2832,,0,0,19,3,input
2024-01-26,2526,,0,0,20,3,input
2024-01-27,5172,,1,1,21,3,input
2024-01-28,6204,,0,0,22,4,input
2024-01-29,3836,,0,0,23,4,input
2024-01-30,3045,,0,0,24,4,input
2024-01-31,2702,,0,0,25,4,input
2024-02-01,2315,,0,0,26,4,input
2024-02-02,2310,,1,1,27,4,input
2024-02-03,4392,,1,1,28,4,input
2024-02-06,2573,,0,0,31,5,Y_1m
2024-04-06,3546,,0,0,91,13,Y_3m
