date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2023-04-06,7668,,1,1,1,1,input
2023-04-07,8924,,1,1,2,1,input
2023-04-08,7522,,0,0,3,1,input
2023-04-09,5922,,0,0,4,1,input
2023-04-10,4124,,0,0,5,1,input
2023-04-11,3901,,0,0,6,1,input
2023-04-12,3933,,0,0,7,1,input
2023-04-13,5277,,1,1,8,2,input
2023-04-14,5773,,2,2,9,2,input
2023-04-15,5743,,2,2,10,2,input
2023-04-16,5054,,1,1,11,2,input
2023-04-17,3489,,0,0,12,2,input
2023-04-18,3603,,0,0,13,2,input
2023-04-19,3378,,0,0,14,2,input
2023-04-20,6250,,1,1,15,3,input
2023-04-21,7174,,2,2,16,3,input
2023-04-22,6140,,0,0,17,3,input
2023-04-23,5541,,0,0,18,3,input
2023-04-24,3824,,0,0,19,3,input
2023-04-25,3587,,0,0,20,3,input
2023-04-26,3317,,1,1,21,3,input
2023-04-27,4790,,1,1,22,4,input
2023-04-28,5143,,0,0,23,4,input
2023-04-29,6948,,0,0,24,4,input
2023-04-30,6941,,0,0,25,4,input
2023-05-01,4204,,0,0,26,4,input
2023-05-02,3600,,0,0,27,4,input
2023-05-03,3799,,0,0,28,4,input
2023-05-06,6091,,0,0,31,5,Y_1m
2023-07-05,2292,,0,0,91,13,Y_3m
