date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-09-16,2282,11.0,2,2,1,1,input
2021-09-17,1393,9.0,1,1,2,1,input
2021-09-18,1206,0.0,0,0,3,1,input
2021-09-19,1167,11.0,0,0,4,1,input
2021-09-20,928,6.0,0,0,5,1,input
2021-09-21,719,0.0,0,0,6,1,input
2021-09-22,1273,0.0,0,0,7,1,input
2021-09-23,1868,7.0,1,1,8,2,input
2021-09-24,1102,6.0,0,0,9,2,input
2021-09-25,1186,10.0,0,0,10,2,input
2021-09-26,1167,7.0,0,0,11,2,input
2021-09-27,999,0.0,0,0,12,2,input
2021-09-28,832,7.0,0,0,13,2,input
2021-09-29,1277,13.0,0,0,14,2,input
2021-09-30,1578,8.0,3,3,15,3,input
2021-10-01,1228,8.0,1,1,16,3,input
2021-10-02,1339,8.0,1,1,17,3,input
2021-10-03,965,0.0,1,1,18,3,input
2021-10-04,760,0.0,0,0,19,3,input
2021-10-05,751,0.0,1,1,20,3,input
2021-10-06,1197,0.0,1,1,21,3,input
2021-10-16,921,0.0,0,0,31,5,Y_1m
2021-12-15,1117,10.0,0,0,91,13,Y_3m
