date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2022-10-08,10158,17.0,2,2,1,1,input
2022-10-09,12047,17.0,3,3,2,1,input
2022-10-10,6808,11.0,3,3,3,1,input
2022-10-11,8649,11.0,3,3,4,1,input
2022-10-12,6985,10.0,1,1,5,1,input
2022-10-13,5320,8.0,0,0,6,1,input
2022-10-14,4730,7.0,1,1,7,1,input
2022-10-15,8850,14.0,3,3,8,2,input
2022-10-16,10502,16.0,1,1,9,2,input
2022-10-17,6441,10.0,0,0,10,2,input
2022-10-18,7995,11.0,1,1,11,2,input
2022-10-19,6148,10.0,0,0,12,2,input
2022-10-20,4658,7.0,0,0,13,2,input
2022-10-21,4270,7.0,0,0,14,2,input
2022-10-22,9159,14.0,3,3,15,3,input
2022-10-23,11033,15.0,0,0,16,3,input
2022-10-24,6807,12.0,1,1,17,3,input
2022-10-25,8101,12.0,1,1,18,3,input
2022-10-26,6842,11.0,0,0,19,3,input
2022-10-27,5510,10.0,1,1,20,3,input
2022-10-28,4932,9.0,0,0,21,3,input
2022-11-07,12237,26.0,2,2,31,5,Y_1m
2023-01-06,22356,57.0,4,4,91,13,Y_3m
