date,gt_score
2019-01-09,71
2019-01-10,98
2019-01-11,78
2019-01-12,59
2019-01-13,47
2019-01-14,42
2019-01-15,21
2019-01-16,54
2019-01-17,74
2019-01-18,36
2019-01-19,55
2019-01-20,45
2019-01-21,19
2019-01-22,37
2019-01-23,65
2019-01-24,54
2019-01-25,36
2019-01-26,36
2019-01-27,44
2019-01-28,42
2019-01-29,32
2019-01-30,72
2019-01-31,75
2019-02-01,48
2019-02-02,56
2019-02-03,39
2019-02-04,30
2019-02-05,39
2019-02-06,85
2019-02-07,84
2019-02-08,55
2019-02-09,56
2019-02-10,30
2019-02-11,56
2019-02-12,52
2019-02-13,92
2019-02-14,81
2019-02-15,41
2019-02-16,46
2019-02-17,44
2019-02-18,34
2019-02-19,53
2019-02-20,67
2019-02-21,65
2019-02-22,45
2019-02-23,35
2019-02-24,40
2019-02-25,42
2019-02-26,44
2019-02-27,65
2019-02-28,60
2019-03-01,38
2019-03-02,32
2019-03-03,22
2019-03-04,28
2019-03-05,30
2019-03-06,77
2019-03-07,76
2019-03-08,46
2019-03-09,36
2019-03-10,30
2019-03-11,31
2019-03-12,28
2019-03-13,56
2019-03-14,81
2019-03-15,54
2019-03-16,50
2019-03-17,35
2019-03-18,28
2019-03-19,42
2019-03-20,64
2019-03-21,91
2019-03-22,54
2019-03-23,47
2019-03-24,31
2019-03-25,25
2019-03-26,39
2019-03-27,93
2019-03-28,100
2019-03-29,53
2019-03-30,37
2019-03-31,34
2019-04-01,32
2019-04-02,43
2019-04-03,55
2019-04-04,73
2019-04-05,56
2019-04-06,68
2019-04-07,47
2019-04-08,31
2019-04-09,25
