date,gt_score
2020-04-04,49
2020-04-05,51
2020-04-06,25
2020-04-07,21
2020-04-08,19
2020-04-09,0
2020-04-10,20
2020-04-11,28
2020-04-12,32
2020-04-13,24
2020-04-14,15
2020-04-15,0
2020-04-16,18
2020-04-17,0
2020-04-18,20
2020-04-19,100
2020-04-20,56
2020-04-21,52
2020-04-22,42
2020-04-23,25
2020-04-24,38
2020-04-25,70
2020-04-26,86
2020-04-27,58
2020-04-28,49
2020-04-29,48
2020-04-30,49
2020-05-01,37
2020-05-02,47
2020-05-03,49
2020-05-04,26
2020-05-05,15
2020-05-06,19
2020-05-07,0
2020-05-08,0
2020-05-09,22
2020-05-10,32
2020-05-11,31
2020-05-12,31
2020-05-13,16
2020-05-14,0
2020-05-15,19
2020-05-16,28
2020-05-17,46
2020-05-18,33
2020-05-19,18
2020-05-20,0
2020-05-21,27
2020-05-22,0
2020-05-23,18
2020-05-24,36
2020-05-25,30
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,15
2020-05-31,22
2020-06-01,19
2020-06-02,0
2020-06-03,23
2020-06-04,0
2020-06-05,0
2020-06-06,17
2020-06-07,20
2020-06-08,19
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,25
2020-06-14,21
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,29
2020-06-21,33
2020-06-22,16
2020-06-23,25
2020-06-24,16
2020-06-25,20
2020-06-26,0
2020-06-27,24
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,18
2020-07-02,0
2020-07-03,0
