date,gt_score
2022-10-08,17
2022-10-09,17
2022-10-10,11
2022-10-11,11
2022-10-12,10
2022-10-13,8
2022-10-14,8
2022-10-15,13
2022-10-16,15
2022-10-17,10
2022-10-18,11
2022-10-19,11
2022-10-20,8
2022-10-21,7
2022-10-22,14
2022-10-23,15
2022-10-24,12
2022-10-25,13
2022-10-26,11
2022-10-27,10
2022-10-28,9
2022-10-29,16
2022-10-30,18
2022-10-31,12
2022-11-01,15
2022-11-02,15
2022-11-03,14
2022-11-04,14
2022-11-05,23
2022-11-06,32
2022-11-07,26
2022-11-08,28
2022-11-09,27
2022-11-10,26
2022-11-11,21
2022-11-12,35
2022-11-13,36
2022-11-14,30
2022-11-15,32
2022-11-16,29
2022-11-17,25
2022-11-18,24
2022-11-19,37
2022-11-20,40
2022-11-21,30
2022-11-22,29
2022-11-23,29
2022-11-24,23
2022-11-25,26
2022-11-26,47
2022-11-27,51
2022-11-28,40
2022-11-29,50
2022-11-30,36
2022-12-01,33
2022-12-02,31
2022-12-03,45
2022-12-04,43
2022-12-05,31
2022-12-06,37
2022-12-07,39
2022-12-08,34
2022-12-09,33
2022-12-10,47
2022-12-11,52
2022-12-12,39
2022-12-13,40
2022-12-14,41
2022-12-15,36
2022-12-16,40
2022-12-17,56
2022-12-18,60
2022-12-19,47
2022-12-20,50
2022-12-21,44
2022-12-22,40
2022-12-23,47
2022-12-24,98
2022-12-25,100
2022-12-26,77
2022-12-27,87
2022-12-28,78
2022-12-29,70
2022-12-30,75
2022-12-31,61
2023-01-01,57
2023-01-02,62
2023-01-03,64
2023-01-04,58
2023-01-05,64
2023-01-06,57
2023-01-07,61
2023-01-08,59
2023-01-09,64
2023-01-10,51
2023-01-11,48
2023-01-12,47
2023-01-13,42
2023-01-14,47
2023-01-15,50
2023-01-16,39
2023-01-17,39
2023-01-18,37
2023-01-19,36
2023-01-20,35
2023-01-21,39
2023-01-22,39
2023-01-23,32
2023-01-24,30
2023-01-25,30
2023-01-26,26
2023-01-27,28
2023-01-28,36
2023-01-29,34
2023-01-30,25
2023-01-31,26
2023-02-01,26
2023-02-02,27
2023-02-03,31
2023-02-04,36
2023-02-05,34
2023-02-06,26
2023-02-07,27
2023-02-08,27
2023-02-09,25
2023-02-10,24
2023-02-11,28
2023-02-12,25
2023-02-13,21
2023-02-14,24
2023-02-15,25
2023-02-16,23
2023-02-17,21
2023-02-18,28
2023-02-19,26
2023-02-20,24
2023-02-21,26
2023-02-22,25
2023-02-23,24
2023-02-24,21
2023-02-25,24
2023-02-26,24
2023-02-27,21
2023-02-28,20
2023-03-01,19
2023-03-02,19
2023-03-03,20
2023-03-04,22
2023-03-05,22
2023-03-06,19
2023-03-07,19
