date,gt_score
2018-07-07,49
2018-07-08,100
2018-07-09,69
2018-07-10,42
2018-07-11,42
2018-07-12,37
2018-07-13,45
2018-07-14,59
2018-07-15,68
2018-07-16,62
2018-07-17,59
2018-07-18,34
2018-07-19,35
2018-07-20,38
2018-07-21,49
2018-07-22,69
2018-07-23,47
2018-07-24,48
2018-07-25,54
2018-07-26,63
2018-07-27,69
2018-07-28,91
2018-07-29,79
2018-07-30,45
2018-07-31,32
2018-08-01,40
2018-08-02,47
2018-08-03,46
2018-08-04,53
2018-08-05,68
2018-08-06,43
2018-08-07,33
2018-08-08,41
2018-08-09,34
2018-08-10,33
2018-08-11,48
2018-08-12,58
2018-08-13,43
2018-08-14,31
2018-08-15,40
2018-08-16,34
2018-08-17,25
2018-08-18,49
2018-08-19,73
2018-08-20,46
2018-08-21,30
2018-08-22,40
2018-08-23,30
2018-08-24,25
2018-08-25,50
2018-08-26,56
2018-08-27,28
2018-08-28,32
2018-08-29,34
2018-08-30,37
2018-08-31,31
2018-09-01,33
2018-09-02,44
2018-09-03,26
2018-09-04,25
2018-09-05,20
2018-09-06,10
2018-09-07,21
2018-09-08,40
2018-09-09,47
2018-09-10,32
2018-09-11,21
2018-09-12,22
2018-09-13,22
2018-09-14,25
2018-09-15,43
2018-09-16,43
2018-09-17,41
2018-09-18,23
2018-09-19,26
2018-09-20,23
2018-09-21,16
2018-09-22,33
2018-09-23,49
2018-09-24,29
2018-09-25,26
2018-09-26,27
2018-09-27,19
2018-09-28,24
2018-09-29,47
2018-09-30,63
2018-10-01,47
2018-10-02,41
2018-10-03,20
2018-10-04,20
2018-10-05,18
2018-10-06,29
2018-10-07,22
2018-10-08,20
2018-10-09,15
2018-10-10,13
2018-10-11,16
2018-10-12,12
2018-10-13,20
2018-10-14,21
2018-10-15,11
2018-10-16,17
2018-10-17,16
2018-10-18,0
2018-10-19,14
2018-10-20,0
2018-10-21,16
2018-10-22,0
2018-10-23,15
2018-10-24,10
2018-10-25,0
2018-10-26,0
2018-10-27,10
2018-10-28,0
2018-10-29,13
2018-10-30,0
2018-10-31,0
2018-11-01,0
2018-11-02,11
2018-11-03,10
2018-11-04,12
2018-11-05,10
2018-11-06,10
2018-11-07,11
2018-11-08,0
2018-11-09,14
2018-11-10,0
2018-11-11,13
2018-11-12,11
2018-11-13,10
2018-11-14,0
2018-11-15,0
2018-11-16,0
2018-11-17,26
2018-11-18,12
2018-11-19,11
2018-11-20,13
2018-11-21,0
2018-11-22,0
2018-11-23,0
2018-11-24,13
2018-11-25,10
2018-11-26,0
2018-11-27,0
2018-11-28,0
2018-11-29,0
2018-11-30,0
2018-12-01,12
2018-12-02,0
2018-12-03,0
2018-12-04,10
