date,gt_score
2023-09-29,100
2023-09-30,46
2023-10-01,35
2023-10-02,24
2023-10-03,19
2023-10-04,20
2023-10-05,17
2023-10-06,25
2023-10-07,23
2023-10-08,18
2023-10-09,19
2023-10-10,12
2023-10-11,11
2023-10-12,10
2023-10-13,16
2023-10-14,18
2023-10-15,16
2023-10-16,11
2023-10-17,10
2023-10-18,12
2023-10-19,11
2023-10-20,15
2023-10-21,18
2023-10-22,16
2023-10-23,11
2023-10-24,11
2023-10-25,10
2023-10-26,9
2023-10-27,17
2023-10-28,22
2023-10-29,18
2023-10-30,12
2023-10-31,12
2023-11-01,12
2023-11-02,11
2023-11-03,22
2023-11-04,21
2023-11-05,17
2023-11-06,12
2023-11-07,12
2023-11-08,11
2023-11-09,11
2023-11-10,16
2023-11-11,21
2023-11-12,17
2023-11-13,13
2023-11-14,13
2023-11-15,13
2023-11-16,12
2023-11-17,17
2023-11-18,18
2023-11-19,15
2023-11-20,12
2023-11-21,10
2023-11-22,11
2023-11-23,12
2023-11-24,16
2023-11-25,18
2023-11-26,16
2023-11-27,11
2023-11-28,11
2023-11-29,11
2023-11-30,10
2023-12-01,14
2023-12-02,17
2023-12-03,16
2023-12-04,12
2023-12-05,11
2023-12-06,11
2023-12-07,11
2023-12-08,15
2023-12-09,18
2023-12-10,15
2023-12-11,13
2023-12-12,11
2023-12-13,13
2023-12-14,9
2023-12-15,13
2023-12-16,14
2023-12-17,14
2023-12-18,11
2023-12-19,9
2023-12-20,10
2023-12-21,9
2023-12-22,15
2023-12-23,15
2023-12-24,12
2023-12-25,9
2023-12-26,10
2023-12-27,10
2023-12-28,9
2023-12-29,13
2023-12-30,13
2023-12-31,9
2024-01-01,9
2024-01-02,9
2024-01-03,10
2024-01-04,9
2024-01-05,15
2024-01-06,14
2024-01-07,11
2024-01-08,10
2024-01-09,9
2024-01-10,8
2024-01-11,8
2024-01-12,12
2024-01-13,14
2024-01-14,12
2024-01-15,9
2024-01-16,8
2024-01-17,8
2024-01-18,8
2024-01-19,11
2024-01-20,14
2024-01-21,12
2024-01-22,9
2024-01-23,8
2024-01-24,8
2024-01-25,8
2024-01-26,12
2024-01-27,16
2024-01-28,11
2024-01-29,9
2024-01-30,8
2024-01-31,9
2024-02-01,8
2024-02-02,13
2024-02-03,13
2024-02-04,12
2024-02-05,8
2024-02-06,9
2024-02-07,9
2024-02-08,8
2024-02-09,12
2024-02-10,13
2024-02-11,10
2024-02-12,10
2024-02-13,8
2024-02-14,7
2024-02-15,8
2024-02-16,12
2024-02-17,15
2024-02-18,11
2024-02-19,9
2024-02-20,8
2024-02-21,9
2024-02-22,9
2024-02-23,15
2024-02-24,14
2024-02-25,11
2024-02-26,9
2024-02-27,9
2024-02-28,9
2024-02-29,8
2024-03-01,11
2024-03-02,12
2024-03-03,11
2024-03-04,8
2024-03-05,9
2024-03-06,10
2024-03-07,8
2024-03-08,13
2024-03-09,15
2024-03-10,11
2024-03-11,10
2024-03-12,10
2024-03-13,11
2024-03-14,9
2024-03-15,13
2024-03-16,15
2024-03-17,13
2024-03-18,10
2024-03-19,10
2024-03-20,12
2024-03-21,10
2024-03-22,18
2024-03-23,23
2024-03-24,18
2024-03-25,14
2024-03-26,12
2024-03-27,10
2024-03-28,10
2024-03-29,14
2024-03-30,15
2024-03-31,12
2024-04-01,9
2024-04-02,9
2024-04-03,9
2024-04-04,9
2024-04-05,10
2024-04-06,14
2024-04-07,12
2024-04-08,9
2024-04-09,7
2024-04-10,8
2024-04-11,7
2024-04-12,7
2024-04-13,9
2024-04-14,9
2024-04-15,6
2024-04-16,8
2024-04-17,9
2024-04-18,7
2024-04-19,7
2024-04-20,8
2024-04-21,8
2024-04-22,6
2024-04-23,6
2024-04-24,8
2024-04-25,5
2024-04-26,5
2024-04-27,6
2024-04-28,6
2024-04-29,7
2024-04-30,5
2024-05-01,5
2024-05-02,6
2024-05-03,7
2024-05-04,6
2024-05-05,6
2024-05-06,6
2024-05-07,6
2024-05-08,6
2024-05-09,5
2024-05-10,5
2024-05-11,5
2024-05-12,5
2024-05-13,4
2024-05-14,4
2024-05-15,5
2024-05-16,4
2024-05-17,4
2024-05-18,4
2024-05-19,4
2024-05-20,4
2024-05-21,4
2024-05-22,4
2024-05-23,4
2024-05-24,4
2024-05-25,4
2024-05-26,4
2024-05-27,3
2024-05-28,3
2024-05-29,4
2024-05-30,4
2024-05-31,4
2024-06-01,4
2024-06-02,4
2024-06-03,3
2024-06-04,3
2024-06-05,4
2024-06-06,4
2024-06-07,3
2024-06-08,4
2024-06-09,4
2024-06-10,3
2024-06-11,3
2024-06-12,3
2024-06-13,3
2024-06-14,3
2024-06-15,4
2024-06-16,4
2024-06-17,3
2024-06-18,3
2024-06-19,3
2024-06-20,3
